Time (sx10E-1),Position,Force
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0,0
4.5,0,0
4.6,0,0
4.7,0,0
4.8,0,0
4.9,0,0
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,0,0
8.4,0,0
8.5,0,0
8.6,0,0
8.7,0,0
8.8,0,0
8.9,0,0
9,0,0
9.1,0,0
9.2,0,0
9.3,0,0
9.4,0,0
9.5,0,0
9.6,0,0
9.7,0,0
9.8,0,0
9.9,0,0
10,0,0
10.1,0.483341549,1
10.2,1.866924533,1
10.3,4.051923869,1
10.4,6.941299374,1
10.5,10.4405473,1
10.6,14.4583589,1
10.7,18.9071834,1
10.8,23.70370376,1
10.9,28.7692253,1
11,34.02998469,1
11.1,39.4173813,1
11.2,44.86813905,1
11.3,50.32440068,1
11.4,55.73376239,1
11.5,61.04925346,1
11.6,66.22926517,1
11.7,71.23743707,1
11.8,76.04250232,1
11.9,80.61810106,1
12,84.94256346,1
12.1,88.99866999,1
12.2,92.77339124,1
12.3,96.25761323,1
12.4,99.4458516,1
12.5,102.335958,1
12.6,104.9288233,1
12.7,107.22808,1
12.8,109.2398064,1
12.9,110.9722366,1
13,112.4354766,1
13.1,113.6412304,1
13.2,114.6025361,1
13.3,115.3335157,1
13.4,115.8491373,1
13.5,116.1649922,1
13.6,116.2970873,1
13.7,116.2616538,1
13.8,116.0749711,1
13.9,115.7532074,1
14,115.3122768,1
14.1,114.7677121,1
14.2,114.1345534,1
14.3,113.4272515,1
14.4,112.6595876,1
14.5,111.844605,1
14.6,110.9945558,1
14.7,110.1208596,1
14.8,109.2340742,1
14.9,108.3438769,1
15,107.4590567,1
15.1,106.587515,1
15.2,105.7362753,1
15.3,104.9114993,1
15.4,104.1185108,1
15.5,103.3618252,1
15.6,102.6451824,1
15.7,101.9715857,1
15.8,101.3433439,1
15.9,100.7621142,1
16,100.2289494,1
16.1,99.74434491,1
16.2,99.30828759,1
16.3,98.9203036,1
16.4,98.57950732,1
16.5,98.28464859,1
16.6,98.03415948,1
16.7,97.82619944,1
16.8,97.65869865,1
16.9,97.52939954,1
17,97.43589614,1
17.1,97.3756711,1
17.2,97.34613026,1
17.3,97.34463443,1
17.4,97.36852911,1
17.5,97.41517073,1
17.6,97.48195128,1
17.7,97.56631918,1
17.8,97.66579879,1
17.9,97.77800599,1
18,97.90066264,1
18.1,98.03160822,1
18.2,98.16880879,1
18.3,98.31036453,1
18.4,98.4545152,1
18.5,98.59964302,1
18.6,98.74427511,1
18.7,98.88708356,1
18.8,99.02688391,1
18.9,99.16263331,1
19,99.29342632,1
19.1,99.41849103,1
19.2,99.53718349,1
19.3,99.64898157,1
19.4,99.7534782,1
19.5,99.85037453,1
19.6,99.93947283,1
19.7,100.0206677,1
19.8,100.0939394,1
19.9,100.1593451,1
20,100.2170116,1
20.1,100.267127,1
20.2,100.3099333,1
20.3,100.3457191,1
20.4,100.3748122,1
20.5,100.3975729,1
20.6,100.4143875,1
20.7,100.4256617,1
20.8,100.4318157,1
20.9,100.4332782,1
21,100.4304819,1
21.1,100.4238584,1
21.2,100.4138351,1
21.3,100.4008307,1
21.4,100.3852527,1
21.5,100.367494,1
21.6,100.3479308,1
21.7,100.3269213,1
21.8,100.3048026,1
21.9,100.2818905,1
22,100.2584786,1
22.1,100.2348368,1
22.2,100.211212,1
22.3,100.1878271,1
22.4,100.1648817,1
22.5,100.142552,1
22.6,100.1209919,1
22.7,100.100333,1
22.8,100.0806861,1
22.9,100.0621417,1
23,100.0447711,1
23.1,100.0286278,1
23.2,100.0137487,1
23.3,100.0001546,1
23.4,99.98785285,1
23.5,99.97683718,1
23.6,99.96709004,1
23.7,99.95858338,1
23.8,99.95128006,1
23.9,99.94513499,1
24,99.94009634,1
24.1,99.93610685,1
24.2,99.93310425,1
24.3,99.9310237,1
24.4,99.92979702,1
24.5,99.92935446,1
24.6,99.92962591,1
24.7,99.93054047,1
24.8,99.93202851,1
24.9,99.93402124,1
25,99.93645168,1
25.1,99.93925509,1
25.2,99.94236925,1
25.3,99.94573509,1
25.4,99.94929663,1
25.5,99.95300132,1
25.6,99.95680031,1
25.7,99.96064856,1
25.8,99.96450475,1
25.9,99.96833144,1
26,99.97209514,1
26.1,99.97576599,1
26.2,99.9793179,1
26.3,99.98272852,1
26.4,99.98597883,1
26.5,99.98905302,1
26.6,99.99193884,1
26.7,99.99462664,1
26.8,99.99710982,1
26.9,99.99938414,1
27,100.0014478,1
27.1,100.0033015,1
27.2,100.0049472,1
27.3,100.0063894,1
27.4,100.0076335,1
27.5,100.0086867,1
27.6,100.009557,1
27.7,100.0102538,1
27.8,100.0107866,1
27.9,100.0111661,1
28,100.0114035,1
28.1,100.0115097,1
28.2,100.0114965,1
28.3,100.0113751,1
28.4,100.0111572,1
28.5,100.010854,1
28.6,100.0104764,1
28.7,100.0100352,1
28.8,100.0095402,1
28.9,100.0090019,1
29,100.0084292,1
29.1,100.0078309,1
29.2,100.007215,1
29.3,100.0065891,1
29.4,100.0059601,1
29.5,100.0053344,1
29.6,100.0047174,1
29.7,100.0041143,1
29.8,100.0035295,1
29.9,100.0029667,1
30,100.0024293,1
30.1,100.00192,1
30.2,100.0014409,1
30.3,100.0009937,1
30.4,100.0005795,1
30.5,100.0001993,1
30.6,99.99985336,1
30.7,99.99954171,1
30.8,99.9992641,1
30.9,99.99901991,1
31,99.99880824,1
31.1,99.99862812,1
31.2,99.99847807,1
31.3,99.99835686,1
31.4,99.99826281,1
31.5,99.99819418,1
31.6,99.99814932,1
31.7,99.99812624,1
31.8,99.99812323,1
31.9,99.99813831,1
32,99.99816968,1
32.1,99.99821546,1
32.2,99.99827386,1
32.3,99.99834311,1
32.4,99.99842155,1
32.5,99.99850741,1
32.6,99.99859944,1
32.7,99.99869596,1
32.8,99.99879571,1
32.9,99.99889742,1
33,99.99900001,1
33.1,99.99910229,1
33.2,99.99920339,1
33.3,99.99930242,1
33.4,99.99939863,1
33.5,99.99949129,1
33.6,99.99958008,1
33.7,99.99966451,1
33.8,99.9997439,1
33.9,99.99981838,1
34,99.99988742,1
34.1,99.9999509,1
34.2,100.0000089,1
34.3,100.0000612,1
34.4,100.000108,1
34.5,100.0001494,1
34.6,100.0001853,1
34.7,100.000216,1
34.8,100.0002418,1
34.9,100.0002628,1
35,100.0002794,1
35.1,100.0002917,1
35.2,100.0003,1
35.3,100.0003048,1
35.4,100.0003061,1
35.5,100.0003045,1
35.6,100.0003,1
35.7,100.0002932,1
35.8,100.0002842,1
35.9,100.0002734,1
36,100.0002609,1
36.1,100.0002472,1
36.2,100.0002326,1
36.3,100.000217,1
36.4,100.0002008,1
36.5,100.0001843,1
36.6,100.0001676,1
36.7,100.0001509,1
36.8,100.0001344,1
36.9,100.0001181,1
37,100.0001023,1
37.1,100.000087,1
37.2,100.0000723,1
37.3,100.0000584,1
37.4,100.0000452,1
37.5,100.0000328,1
37.6,100.0000213,1
37.7,100.0000107,1
37.8,100.000001,1
37.9,99.9999923,1
38,99.99998435,1
38.1,99.99997735,1
38.2,99.99997127,1
38.3,99.99996602,1
38.4,99.99996163,1
38.5,99.99995797,1
38.6,99.99995503,1
38.7,99.99995286,1
38.8,99.99995142,1
38.9,99.99995042,1
39,99.9999501,1
39.1,99.99995021,1
39.2,99.99995083,1
39.3,99.9999518,1
39.4,99.99995313,1
39.5,99.99995487,1
39.6,99.99995684,1
39.7,99.99995904,1
39.8,99.99996137,1
39.9,99.9999639,1
40,99.99996649,1
40.1,99.99996918,1
40.2,99.9999719,1
40.3,99.9999746,1
40.4,99.99997729,1
40.5,99.99997999,1
40.6,99.99998258,1
40.7,99.99998509,1
40.8,99.99998753,1
40.9,99.99998982,1
41,99.99999206,1
41.1,99.99999406,1
41.2,99.99999598,1
41.3,99.99999777,1
41.4,99.9999994,1
41.5,100.0000008,1
41.6,100.0000022,1
41.7,100.0000034,1
41.8,100.0000044,1
41.9,100.0000053,1
42,100.0000061,1
42.1,100.0000067,1
42.2,100.0000072,1
42.3,100.0000076,1
42.4,100.0000078,1
42.5,100.000008,1
42.6,100.0000081,1
42.7,100.000008,1
42.8,100.000008,1
42.9,100.0000078,1
43,100.0000077,1
43.1,100.0000074,1
43.2,100.000007,1
43.3,100.0000067,1
43.4,100.0000064,1
43.5,100.0000059,1
43.6,100.0000055,1
43.7,100.0000051,1
43.8,100.0000047,1
43.9,100.0000042,1
44,100.0000038,1
44.1,100.0000033,1
44.2,100.0000029,1
44.3,100.0000025,1
44.4,100.0000021,1
44.5,100.0000017,1
44.6,100.0000014,1
44.7,100.000001,1
44.8,100.0000007,1
44.9,100.0000004,1
45,100.0000001,1
45.1,99.99999994,1
45.2,99.99999966,1
45.3,99.99999945,1
45.4,99.9999993,1
45.5,99.99999915,1
45.6,99.99999907,1
45.7,99.99999889,1
45.8,99.99999884,1
45.9,99.99999873,1
46,99.99999871,1
46.1,99.99999866,1
46.2,99.99999864,1
46.3,99.99999866,1
46.4,99.99999864,1
46.5,99.99999866,1
46.6,99.99999874,1
46.7,99.9999987,1
46.8,99.99999875,1
46.9,99.99999884,1
47,99.99999903,1
47.1,99.99999907,1
47.2,99.99999908,1
47.3,99.99999904,1
47.4,99.99999915,1
47.5,99.99999924,1
47.6,99.99999933,1
47.7,99.99999935,1
47.8,99.99999947,1
47.9,99.99999952,1
48,99.99999958,1
48.1,99.99999962,1
48.2,99.99999973,1
48.3,99.99999977,1
48.4,99.99999983,1
48.5,99.99999989,1
48.6,99.99999999,1
