Time s,Displacement Into Surface nm,Load On Sample mN
207.2,0,0
207.3,0.726008287,2.96334975867785E-005
207.4,0.3047025843,0.0001732145
207.5,-0.6241563621,0.0003672041
207.6,-0.1640819097,0.0004232493
207.7,1.2032065365,0.0003891929
207.8,1.6298495988,0.0004485584
207.9,1.3908983559,0.0005740286
208,1.4406752406,0.0006708233
208.1,2.2077136539,0.0006963818
208.2,1.8912616447,0.0008295491
208.3,2.3513364801,0.0008855942
208.4,2.3494462206,0.0009875203
208.5,2.4288557448,0.0010813719
208.6,2.5576529927,0.0011703185
208.7,2.5550029206,0.00127232
208.76,2.7120614397,0.0013177644
208.9,2.5132318646,0.0014798322
209,3.0044590704,0.0015325887
209.1,2.4934953813,0.0016848796
209.2,2.8532752426,0.001750691
209.3,3.1393534557,0.0018238222
209.4,2.9976579636,0.0019394385
209.5,2.9372622746,0.0020469803
209.6,3.428489531,0.0020997368
209.7,3.5238551451,0.0021918089
209.8,3.1093874035,0.0023345161
209.9,3.4083824201,0.0024063644
210,3.8297070951,0.0024660633
210.1,3.738159119,0.002576699
210.2,3.9360992755,0.0026585838
210.3,3.9516847018,0.0027585793
210.4,3.8905291782,0.0028661966
210.5,4.2518288013,0.002931857
210.6,3.9437345611,0.0030639994
210.7,4.3217500377,0.0031279995
210.8,4.1929712869,0.0032423329
210.9,4.1113008512,0.0033519876
211,4.1755142077,0.0034471536
211.1,4.3020321027,0.0035361317
211.2,4.5440413485,0.0036136396
211.3,4.4319784437,0.0037263128
211.4,4.5387412471,0.0038172529
211.5,4.5558462956,0.0039170975
211.6,4.4529011311,0.0040288652
211.7,4.7207439719,0.0041038073
211.8,4.9278019081,0.0041847864
211.9,5.0603983182,0.0042731608
212,5.0076006987,0.0043799479
212.1,4.6425205452,0.0045177499
212.2,5.3214214724,0.004551867
212.3,4.9852141193,0.0046868014
212.4,5.0251135144,0.0047843822
212.5,4.952180893,0.004893169
212.6,5.0437474732,0.0049856183
212.7,5.2109153082,0.0050705592
212.8,4.6984317226,0.0052230008
212.9,5.2075147301,0.0052739838
213,5.5000514921,0.0053464734
213.1,5.5547672169,0.0054425825
213.2,5.6942019459,0.0055302777
213.3,5.802484399,0.0056210668
213.4,5.916845349,0.0057112522
213.5,5.9419284192,0.0058103043
213.6,6.127711681,0.0058933963
213.7,6.0851715014,0.0059991645
213.8,5.8131681793,0.0061277224
213.9,6.0992465819,0.0062008533
214,6.0889984047,0.0063034145
214.1,6.2801003512,0.0063859782
214.2,6.002018524,0.0065151397
214.3,6.3701566128,0.0065801208
214.4,6.5483417708,0.0066639673
214.5,6.6015378806,0.0067602273
214.6,6.5863509217,0.0068632789
214.7,6.8313995382,0.0069404848
214.8,6.7014809785,0.0070549311
214.9,6.9947776603,0.0071273451
215,7.0240396972,0.0072259822
215.1,7.2170412187,0.0073083571
215.2,7.2466831614,0.0074069564
215.3,7.3154554237,0.0075016694
215.4,7.3526954872,0.0075995141
215.5,7.2953389534,0.0077067538
215.6,7.2186072165,0.0078159178
215.7,7.2569869978,0.0079136493
215.8,7.3390559678,0.0080070417
215.9,7.4294828722,0.008099604
216,7.5446036705,0.0081897138
216.1,7.4743303301,0.0082982363
216.2,7.464082142,0.0084007974
216.3,7.6342893124,0.0084854362
216.4,7.7949988398,0.0085710182
216.5,7.817042663,0.0086703721
216.6,7.7642449949,0.008777159
216.7,7.9462292648,0.0088606281
216.8,7.9036890581,0.0089663963
216.9,8.1141662893,0.0090470355
217,8.346298182,0.0091255241
217.1,8.3983545875,0.0092218972
217.2,8.0667058427,0.0093563787
217.3,8.6232775484,0.0094026449
217.4,8.3030259629,0.0095359944
217.5,8.4173869672,0.0096261796
217.6,8.3615500399,0.0097332683
217.7,8.6244543355,0.0098087007
217.8,8.3182592863,0.0099406541
217.9,8.9466332792,0.0099797892
218,8.3661459926,0.0101389845
218.1,8.7088305654,0.0102064933
218.2,8.5922086562,0.010319619
218.3,9.0446861308,0.0103762235
218.4,8.9633954784,0.0104858401
218.5,9.1966671297,0.0105642155
218.6,9.1096778802,0.0106743981
218.7,9.4930124907,0.0107378696
218.8,9.0671469215,0.0108817083
218.9,9.3767797176,0.0109524997
219,9.3566539531,0.0110560416
219.1,9.5166037256,0.011141699
219.2,9.5207919567,0.0112428261
219.3,9.9922648571,0.011297544
219.4,9.6302234701,0.0114350438
219.5,9.6055388289,0.0115390385
